presentable,last-year-high-resolution-score,lines-in-file,high-resolution-score,revision,calculated,name,last-month,score,last-month-high-resolution-score,candidatescore,last-year
1,5.071140897073036,1896,5.071140897073036,57d8ea1e,true,fluentassertions/Src/FluentAssertions/Collections/GenericCollectionAssertions.cs,5,5,5.071140897073036,1,5
0,5.84026143825056,2041,5.84026143825056,a07bdfdd,true,fluentassertions/Tests/FluentAssertions.Equivalency.Specs/CollectionSpecs.cs,5,5,5.84026143825056,0,5
0,5.771131738786489,871,5.771131738786489,d881fdd9,true,fluentassertions/Src/FluentAssertions/Types/TypeAssertions.cs,5,5,5.771131738786489,0,5
0,6.119717232677178,625,6.119717232677178,67fa5708,true,fluentassertions/Src/FluentAssertions/Primitives/StringAssertions.cs,6,6,6.119717232677178,0,6
1,8.95517096544394,552,7.438368311304707,57d8ea1e,true,fluentassertions/Src/FluentAssertions/Collections/GenericDictionaryAssertions.cs,7,7,7.438368311304707,1,8
0,7.788037646779413,532,7.788037646779413,a8a04fe9,true,fluentassertions/Src/FluentAssertions/Primitives/DateTimeOffsetAssertions.cs,7,7,7.788037646779413,0,7
1,9.387218218812514,154,8.816158827775617,187fa6df,true,fluentassertions/Src/FluentAssertions/Specialized/ExceptionAssertions.cs,8,8,8.816158827775617,1,9
0,8.816158827775617,857,8.816158827775617,6859575f,true,fluentassertions/Tests/FluentAssertions.Specs/Formatting/FormatterSpecs.cs,8,8,8.816158827775617,0,8
0,8.816158827775617,569,8.816158827775617,1a35079c,true,fluentassertions/Src/FluentAssertions/AssertionExtensions.cs,8,8,8.816158827775617,0,8
1,9.179866606146557,385,9.153951349905014,1ff6be64,true,fluentassertions/Src/FluentAssertions/Common/TypeExtensions.cs,9,9,9.153951349905014,1,9
1,9.387218218812514,201,9.387218218812514,0ae4aa37,true,fluentassertions/Src/FluentAssertions/Specialized/AsyncFunctionAssertions.cs,9,9,9.387218218812514,1,9
1,8.720298221085535,453,9.663736664415227,f7490a0a,true,fluentassertions/Src/FluentAssertions/Equivalency/SelfReferenceEquivalencyOptions.cs,9,9,9.663736664415227,1,8
0,9.096655465156704,748,9.387218218812514,a07bdfdd,true,fluentassertions/Tests/FluentAssertions.Specs/Events/EventAssertionSpecs.cs,9,9,9.387218218812514,0,9
1,10.0,323,10.0,2f56211b,true,fluentassertions/Build/Build.cs,10,10,10.0,1,10
1,6.30344731029596,61,10.0,f7490a0a,true,fluentassertions/Tests/FluentAssertions.Equivalency.Specs/SelectionRulesSpecs.cs,6,10,6.30344731029596,1,6
1,8.545379580978913,67,10.0,25417210,true,fluentassertions/Tests/FluentAssertions.Specs/Primitives/ObjectAssertionSpecs.cs,10,10,10.0,1,8
1,,131,10.0,6b79ce91,true,fluentassertions/Src/FluentAssertions/Common/TypeMemberReflector.cs,10,10,10.0,1,0
